2024-10-09 22:21:58.207 MSK [6132] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-09 22:22:08.906 MSK [6132] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 98 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=10.588 сек., синхр.=0.093 сек., всего=10.705 сек.; синхронизировано_файлов=78, самая_долгая_синхр.=0.007 сек., средняя=0.002 сек.; расстояние=601 kB, ожидалось=601 kB; lsn=0/2195688, lsn redo=0/2195650
2024-10-09 23:21:58.990 MSK [6132] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-09 23:22:01.210 MSK [6132] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 21 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=2.189 сек., синхр.=0.020 сек., всего=2.220 сек.; синхронизировано_файлов=17, самая_долгая_синхр.=0.004 сек., средняя=0.002 сек.; расстояние=51 kB, ожидалось=546 kB; lsn=0/21A2300, lsn redo=0/21A22C8
2024-10-09 23:26:58.213 MSK [6132] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-09 23:26:59.555 MSK [6132] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 13 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.316 сек., синхр.=0.013 сек., всего=1.343 сек.; синхронизировано_файлов=13, самая_долгая_синхр.=0.004 сек., средняя=0.001 сек.; расстояние=5 kB, ожидалось=492 kB; lsn=0/21A3968, lsn redo=0/21A3930
2024-10-09 23:31:58.566 MSK [6132] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-09 23:31:59.928 MSK [6132] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 13 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.316 сек., синхр.=0.021 сек., всего=1.362 сек.; синхронизировано_файлов=13, самая_долгая_синхр.=0.005 сек., средняя=0.002 сек.; расстояние=5 kB, ожидалось=443 kB; lsn=0/21A50F0, lsn redo=0/21A50B8
2024-10-09 23:36:58.944 MSK [6132] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-09 23:37:00.400 MSK [6132] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 14 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.431 сек., синхр.=0.010 сек., всего=1.456 сек.; синхронизировано_файлов=14, самая_долгая_синхр.=0.003 сек., средняя=0.001 сек.; расстояние=13 kB, ожидалось=400 kB; lsn=0/21A8848, lsn redo=0/21A8810
2024-10-09 23:46:58.421 MSK [6132] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-09 23:47:01.206 MSK [6132] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 26 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=2.732 сек., синхр.=0.033 сек., всего=2.785 сек.; синхронизировано_файлов=21, самая_долгая_синхр.=0.004 сек., средняя=0.002 сек.; расстояние=49 kB, ожидалось=365 kB; lsn=0/21B5020, lsn redo=0/21B4FE8
2024-10-10 00:01:58.240 MSK [6132] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-10 00:01:58.370 MSK [6132] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 1 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.117 сек., синхр.=0.003 сек., всего=0.131 сек.; синхронизировано_файлов=1, самая_долгая_синхр.=0.003 сек., средняя=0.003 сек.; расстояние=0 kB, ожидалось=329 kB; lsn=0/21B5290, lsn redo=0/21B5258
2024-10-10 00:26:58.407 MSK [6132] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-10 00:26:59.860 MSK [6132] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 14 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.429 сек., синхр.=0.013 сек., всего=1.453 сек.; синхронизировано_файлов=14, самая_долгая_синхр.=0.004 сек., средняя=0.001 сек.; расстояние=29 kB, ожидалось=299 kB; lsn=0/21BC708, lsn redo=0/21BC6D0
2024-10-10 00:31:58.863 MSK [6132] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-10 00:32:00.438 MSK [6132] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 15 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.534 сек., синхр.=0.024 сек., всего=1.575 сек.; синхронизировано_файлов=15, самая_долгая_синхр.=0.005 сек., средняя=0.002 сек.; расстояние=8 kB, ожидалось=270 kB; lsn=0/21BE7F0, lsn redo=0/21BE7B8
2024-10-10 00:41:58.458 MSK [6132] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-10 00:41:58.590 MSK [6132] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 1 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.115 сек., синхр.=0.004 сек., всего=0.132 сек.; синхронизировано_файлов=1, самая_долгая_синхр.=0.004 сек., средняя=0.004 сек.; расстояние=2 kB, ожидалось=243 kB; lsn=0/21BF2B8, lsn redo=0/21BF280
2024-10-10 00:51:58.601 MSK [6132] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-10 00:52:14.435 MSK [6132] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 145 (0.2%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=15.763 сек., синхр.=0.059 сек., всего=15.835 сек.; синхронизировано_файлов=83, самая_долгая_синхр.=0.004 сек., средняя=0.001 сек.; расстояние=793 kB, ожидалось=793 kB; lsn=0/2285940, lsn redo=0/2285908
2024-10-10 00:56:58.453 MSK [6132] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-10 00:56:59.022 MSK [6132] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 5 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.553 сек., синхр.=0.005 сек., всего=0.569 сек.; синхронизировано_файлов=5, самая_долгая_синхр.=0.003 сек., средняя=0.001 сек.; расстояние=9 kB, ожидалось=715 kB; lsn=0/2287F18, lsn redo=0/2287EE0
2024-10-10 01:01:58.034 MSK [6132] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-10 01:02:03.772 MSK [6132] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 53 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=5.690 сек., синхр.=0.038 сек., всего=5.738 сек.; синхронизировано_файлов=42, самая_долгая_синхр.=0.004 сек., средняя=0.001 сек.; расстояние=100 kB, ожидалось=653 kB; lsn=0/22A1090, lsn redo=0/22A1058
2024-10-10 01:06:58.774 MSK [6132] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-10 01:06:58.895 MSK [6132] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 1 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.103 сек., синхр.=0.004 сек., всего=0.121 сек.; синхронизировано_файлов=1, самая_долгая_синхр.=0.004 сек., средняя=0.004 сек.; расстояние=0 kB, ожидалось=588 kB; lsn=0/22A1230, lsn redo=0/22A11F8
2024-10-10 01:51:58.957 MSK [6132] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-10 01:52:08.316 MSK [6132] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 86 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=9.297 сек., синхр.=0.050 сек., всего=9.360 сек.; синхронизировано_файлов=65, самая_долгая_синхр.=0.004 сек., средняя=0.001 сек.; расстояние=317 kB, ожидалось=561 kB; lsn=0/22F0908, lsn redo=0/22F08D0
2024-10-10 01:56:58.324 MSK [6132] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-10 01:56:59.332 MSK [6132] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 10 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.988 сек., синхр.=0.009 сек., всего=1.009 сек.; синхронизировано_файлов=7, самая_долгая_синхр.=0.004 сек., средняя=0.002 сек.; расстояние=36 kB, ожидалось=508 kB; lsn=0/22F9A90, lsn redo=0/22F9A58
