2024-10-08 20:00:46.122 MSK [3064] СООБЩЕНИЕ:  система БД была выключена: 2024-10-08 20:00:35 MSK
2024-10-08 20:05:46.132 MSK [11952] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-08 20:05:51.310 MSK [11952] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 50 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=5.138 сек., синхр.=0.021 сек., всего=5.197 сек.; синхронизировано_файлов=30, самая_долгая_синхр.=0.004 сек., средняя=0.001 сек.; расстояние=261 kB, ожидалось=261 kB; lsn=0/17F2470, lsn redo=0/17F2438
2024-10-08 20:10:46.315 MSK [11952] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-08 20:12:32.787 MSK [11952] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 971 (1.5%); добавлено файлов WAL 1, удалено: 0, переработано: 0; запись=105.952 сек., синхр.=0.379 сек., всего=106.472 сек.; синхронизировано_файлов=309, самая_долгая_синхр.=0.005 сек., средняя=0.002 сек.; расстояние=4556 kB, ожидалось=4556 kB; lsn=0/1C65DA0, lsn redo=0/1C65480
2024-10-08 23:46:13.759 MSK [15172] РћРЁРР‘РљРђ:  РЅРµС‚ РґРѕСЃС‚СѓРїР° Рє СЃС…РµРјРµ public (СЃРёРјРІРѕР» 14)
2024-10-08 23:46:13.759 MSK [15172] РћРџР•Р РђРўРћР :  CREATE TABLE "django_migrations" ("id" bigint NOT NULL PRIMARY KEY GENERATED BY DEFAULT AS IDENTITY, "app" varchar(255) NOT NULL, "name" varchar(255) NOT NULL, "applied" timestamp with time zone NOT NULL)
2024-10-08 23:50:47.215 MSK [11952] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-08 23:51:00.292 MSK [11952] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 119 (0.2%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=12.981 сек., синхр.=0.084 сек., всего=13.079 сек.; синхронизировано_файлов=103, самая_долгая_синхр.=0.004 сек., средняя=0.001 сек.; расстояние=588 kB, ожидалось=4159 kB; lsn=0/1CF8800, lsn redo=0/1CF87C8
2024-10-08 23:55:47.320 MSK [11952] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-08 23:55:50.307 MSK [11952] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 28 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=2.941 сек., синхр.=0.027 сек., всего=2.993 сек.; синхронизировано_файлов=18, самая_долгая_синхр.=0.005 сек., средняя=0.002 сек.; расстояние=71 kB, ожидалось=3750 kB; lsn=0/1D0A5A0, lsn redo=0/1D0A568
